source	target	weight
ADRB2	GNG2	991
ADRB2	DNM3	901
HLA-DRB1	B2M	919
GNGT1	CXCL1	900
GNGT1	GNB1	999
GNGT1	FZD4	901
GNGT1	GNB5	999
SYK	TBXA2R	911
SYK	PLCG2	991
RAC1	B2M	904
RAC1	TBXA2R	901
AGTR1	APLNR	908
APLNR	GNB1	916
PTK2	RET	975
APP	B2M	926
APP	GRM3	919
WNT5A	DNM3	909
AVPR2	GNB1	950
AVPR2	DNM3	901
ITPR2	PLCG2	946
GNB3	GNGT1	999
GNB3	GNG11	999
GNB3	GNG2	999
GNB3	APLNR	924
PIK3CA	TBXA2R	900
PIK3CA	RET	968
KDR	DNM2	967
KDR	PTPN6	971
KDR	PIK3CA	966
PLCG1	PLCG2	951
PLCG1	RET	985
PLCG1	B2M	903
PLCG1	GNGT1	904
PLCG1	KDR	973
GNG11	PPBP	912
GNG11	WNT5A	912
GNG11	GNB1	999
GNG11	PIK3R3	917
GNG11	ITPR2	909
GNAI2	TBXA2R	952
GNAI2	APLNR	914
GNG2	AVPR2	950
GNG2	PTK2	928
GNG2	PRKCD	909
GNG2	HLA-DRB1	900
GNG2	GNB1	999
PIK3R2	GNG11	902
PIK3R2	KDR	926
PPBP	B2M	929
CXCL1	APLNR	902
CXCL1	B2M	931
CBL	AVPR2	900
CBL	PLCG2	933
DNM1	TBXA2R	901
B2M	PLCG2	903
CD3D	DNM3	901
CD3D	B2M	929
CD3D	AVPR2	902
TBXA2R	GNB1	950
PIK3R3	RET	913
PTPN6	B2M	912
EGFR	DNM3	910
EGFR	PLCG2	964
PRKCD	PLCG2	937
DNM3	DNM1	976
DNM3	FZD4	908
DNM3	AGTR1	901
DNM3	DNM2	982
DNM3	CHRM2	902
GRM3	GNB1	905
GRM3	APLNR	909
GRM3	CHRM2	930
GNB5	GNG2	999
GNB5	GRM3	911
